ID_PERSON,AS_ACTOR,AS_COMPOSER,AS_DIRECTOR,PERSON_NAME
nm0000001,tt0023926|tt0024025|tt0025164|tt0026942|tt0027125|tt0027630|tt0028333|tt0028757|tt0029546|tt0029971|tt0031983|tt0032284|tt0033029|tt0034409|tt0034862|tt0035583|tt0036363|tt0038262|tt0038370|tt0039116|tt0040308|tt0041158|tt0042674|tt0043044|tt0043983|tt0044408|tt0045537|tt0047969|tt0050419|tt0050972|tt0053137|tt0055307|tt0056289|tt0062974|tt0064664|tt0066194|tt0066327|tt0072308|tt0074130|tt0075971|tt0076851|tt0077536|tt0082449|tt0193225|tt0853119,,,Fred Astaire
nm0000002,tt0037382|tt0037610|tt0038355|tt0039302|tt0040506|tt0042285|tt0043153|tt0045891|tt0047680|tt0047889|tt0047944|tt0049966|tt0050306|tt0051657|tt0053126|tt0057290|tt0058580|tt0058585|tt0060490|tt0070199|tt0071877|tt0075213|tt0078074|tt0079256|tt0082362|tt0094669|tt0095665|tt0097205|tt0099846|tt0100034|tt0100157|tt0101301|tt0107859|tt0113126|tt0117057|tt0117119|tt0119418|tt0157321|tt0166817|tt0167423|tt0211577|tt0211719|tt0272183|tt0276919|tt0337876|tt0342735|tt0783608|tt0853119|tt0858500|tt1368858,,,Lauren Bacall
nm0000003,tt0044881|tt0046200|tt0047607|tt0048001|tt0048103|tt0048133|tt0048321|tt0049063|tt0049182|tt0049189|tt0049483|tt0049508|tt0050193|tt0051133|tt0051579|tt0051608|tt0052595|tt0053428|tt0054452|tt0054700|tt0055599|tt0056404|tt0057345|tt0058703|tt0059956|tt0062534|tt0063592|tt0063715|tt0064324|tt0064779|tt0066164|tt0066857|tt0067637|tt0069899|tt0069990,,,Brigitte Bardot
nm0000004,tt0076816|tt0077147|tt0077621|tt0077975|tt0078723|tt0079660|tt0080455|tt0082200|tt0082801|tt0775426,,,John Belushi
nm0000005,tt0043048|tt0064793|tt0064897|tt0069467|tt0079187|tt0133268|tt0163721|tt2056773,,tt0038468|tt0038675|tt0039834|tt0040418|tt0040622|tt0041399|tt0041998|tt0043019|tt0043048|tt0044060|tt0044811|tt0045848|tt0046345|tt0047167|tt0048272|tt0048641|tt0050502|tt0050976|tt0050986|tt0051365|tt0052017|tt0053772|tt0053976|tt0055499|tt0057358|tt0057611|tt0058124|tt0060827|tt0062306|tt0063611|tt0063759|tt0064793|tt0064897|tt0066826|tt0069467|tt0074147|tt0076686|tt0077711|tt0079187|tt0080397|tt0083922|tt0087193|tt0090222|tt0090955|tt0104819|tt0111204|tt0119496|tt0130010|tt0130171|tt0130204|tt0130344|tt0184741|tt0299478|tt0303764|tt0313247|tt1194576|tt6720536|tt6725014,Ingmar Bergman
nm0000006,tt0026146|tt0026737|tt0027062|tt0027164|tt0027796|tt0028151|tt0030066|tt0030337|tt0030938|tt0031270|tt0031491|tt0032655|tt0033314|tt0033553|tt0034078|tt0034583|tt0035896|tt0036855|tt0037536|tt0038053|tt0038109|tt0038787|tt0040109|tt0040491|tt0041931|tt0042004|tt0043511|tt0046309|tt0046511|tt0047026|tt0047336|tt0048947|tt0049177|tt0051773|tt0051776|tt0054936|tt0055553|tt0057135|tt0058724|tt0059927|tt0062306|tt0064117|tt0066542|tt0070079|tt0071877|tt0074878|tt0077711|tt0084914,,,Ingrid Bergman
nm0000007,tt0020822|tt0021508|tt0021636|tt0021680|tt0021966|tt0022576|tt0023153|tt0023590|tt0025499|tt0027367|tt0027407|tt0027445|tt0027805|tt0028096|tt0028426|tt0028773|tt0028955|tt0029080|tt0029217|tt0029511|tt0029605|tt0029864|tt0029870|tt0030026|tt0030433|tt0030650|tt0030820|tt0031210|tt0031536|tt0031747|tt0031851|tt0031867|tt0032153|tt0032285|tt0032636|tt0032643|tt0033149|tt0033226|tt0033717|tt0033870|tt0034370|tt0034428|tt0034449|tt0034513|tt0034583|tt0035608|tt0036323|tt0036422|tt0037166|tt0037382|tt0037611|tt0038355|tt0039302|tt0039305|tt0039926|tt0040506|tt0040897|tt0041555|tt0041967|tt0042324|tt0042593|tt0043265|tt0043503|tt0044040|tt0044533|tt0045544|tt0046414|tt0046754|tt0046816|tt0047437|tt0047985|tt0048291|tt0048801|tt0049291|tt0070199,,,Humphrey Bogart
nm0000008,tt0042727|tt0044081|tt0045296|tt0045943|tt0046903|tt0047296|tt0047677|tt0048140|tt0049830|tt0050933|tt0052415|tt0052832|tt0055257|tt0056264|tt0056632|tt0057878|tt0059470|tt0060120|tt0060232|tt0061523|tt0062185|tt0062776|tt0064728|tt0064866|tt0068646|tt0069007|tt0070849|tt0074906|tt0078346|tt0078788|tt0080754|tt0097243|tt0099615|tt0103962|tt0112883|tt0116654|tt0118768|tt0120678|tt0227445|tt0381082,,tt0055257,Marlon Brando
nm0000009,tt0041579|tt0041704|tt0043121|tt0043143|tt0043601|tt0044937|tt0045679|tt0046247|tt0047585|tt0048510|tt0048538|tt0048937|tt0050126|tt0050944|tt0051879|tt0053261|tt0053673|tt0053936|tt0056197|tt0057564|tt0057634|tt0057877|tt0058175|tt0058404|tt0059674|tt0059749|tt0061184|tt0061407|tt0061502|tt0062751|tt0062776|tt0062898|tt0064030|tt0065031|tt0065207|tt0067650|tt0067952|tt0068226|tt0068294|tt0068674|tt0070592|tt0070758|tt0070854|tt0070889|tt0071247|tt0071536|tt0071721|tt0072364|tt0075995|tt0076009|tt0077921|tt0078320|tt0078492|tt0079492|tt0080536|tt0081975|tt0087803|tt0341353|tt1008692,,tt0062898,Richard Burton
nm0000010,tt0020836|tt0021381|tt0021673|tt0022151|tt0022236|tt0022286|tt0022403|tt0022792|tt0023556|tt0023701|tt0024028|tt0024090|tt0024239|tt0024314|tt0024450|tt0025226|tt0025238|tt0025330|tt0025826|tt0026191|tt0026275|tt0026385|tt0026393|tt0026534|tt0026714|tt0027697|tt0029588|tt0029870|tt0029940|tt0031260|tt0031747|tt0031867|tt0032342|tt0032467|tt0033175|tt0033432|tt0034236|tt0034578|tt0035575|tt0036057|tt0037547|tt0038279|tt0040884|tt0042041|tt0042648|tt0043123|tt0043424|tt0045323|tt0046002|tt0048317|tt0048380|tt0048570|tt0049844|tt0049881|tt0050681|tt0053109|tt0053272|tt0053849|tt0055256|tt0056418|tt0082970|tt0088248|tt0331187,,tt0050964,James Cagney
